title,sell_price,orig_price,rating,num_ratings
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,195 Ratings & 1,891 Reviews"
Thomson OATHPRO Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,"₹32,999","₹49,999",4.5,"27,887 Ratings & 7,261 Reviews"
Mi 5A Pro 80 cm (32 inch) HD Ready LED Smart Android TV with 24W Dolby Audio & 1.5GB RAM (2022 Model),"₹16,999","₹25,999",4.3,162 Ratings & 13 Reviews
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,195 Ratings & 1,891 Reviews"
TCL S6500 Series 108 cm (43 inch) Full HD LED Smart Android TV,"₹19,990","₹47,990",4.3,"1,648 Ratings & 160 Reviews"
Blaupunkt Cybersound 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,"₹34,999","₹55,999",4.6,"4,574 Ratings & 1,168 Reviews"
OnePlus U1S 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"₹61,999","₹69,999",4.4,"13,497 Ratings & 1,411 Reviews"
iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"₹39,999","₹73,990",4.4,134 Ratings & 22 Reviews
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,195 Ratings & 1,891 Reviews"
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,299","₹15,000",3.9,236 Ratings & 24 Reviews
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599","₹12,499",4.1,"3,789 Ratings & 488 Reviews"
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,"₹8,999","₹19,999",4.2,"8,670 Ratings & 1,051 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,789 Ratings & 488 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹7,399","₹15,999",4.1,"3,789 Ratings & 488 Reviews"
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹47,999","₹69,900",4.6,"2,467 Ratings & 498 Reviews"
SPL 109 cm (43 inch) Full HD LED Smart Android Based TV,"₹12,990","₹29,990",,
Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,"₹46,999","₹69,999",4.3,"48,763 Ratings & 4,460 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,789 Ratings & 488 Reviews"
,,,,
,,,,
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,195 Ratings & 1,891 Reviews"
KODAK 60 cm (24 inch) HD Ready LED TV,"₹5,499","₹10,499",4,"9,701 Ratings & 1,126 Reviews"
iFFALCON by TCL U62 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,"₹39,999","₹73,990",4.4,134 Ratings & 22 Reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,195 Ratings & 1,891 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,195 Ratings & 1,891 Reviews"
LG UQ8020 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹51,490","₹84,990",4.5,"1,717 Ratings & 243 Reviews"
Thomson 9R PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹26,999","₹42,999",4.3,"14,093 Ratings & 3,289 Reviews"
Blaupunkt Cybersound 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 50W Speaker...,"₹26,999","₹41,999",4.6,"4,574 Ratings & 1,168 Reviews"
